thread_user_pk,thread_follower_pk,thread_username,thread_follower_username
63291410241.0,67475173428.0,jscalzi,sarahelisabethb
63291410241.0,63245067312.0,jscalzi,spencer__dickinson
63291410241.0,67776065805.0,jscalzi,thetalbottshow
63291410241.0,68959481695.0,jscalzi,wiz_smith
63291410241.0,70234321694.0,jscalzi,tonks3cat
63291410241.0,68071887938.0,jscalzi,plumstergram
63291410241.0,63371739112.0,jscalzi,drmandywillig
63291410241.0,63383783726.0,jscalzi,brzymom
63291410241.0,63492115124.0,jscalzi,irnmdn7
63291410241.0,63436825701.0,jscalzi,golampi
63291410241.0,63289798498.0,jscalzi,reclusivebibliophile
63291410241.0,63374191769.0,jscalzi,davidsonkane
63291410241.0,63526038045.0,jscalzi,yogabing111
63291410241.0,63075370581.0,jscalzi,riamatic
63291410241.0,63444210044.0,jscalzi,susandurham_ky
63291410241.0,63293674421.0,jscalzi,brigid408
63291410241.0,67968790616.0,jscalzi,theotherdavepark
63291410241.0,64233708513.0,jscalzi,littleredlily
63291410241.0,63464201558.0,jscalzi,janab04
63291410241.0,63078454499.0,jscalzi,doug.brandberg_photo
63291410241.0,63453929978.0,jscalzi,womprat99
63291410241.0,63091900241.0,jscalzi,opendoorpolicygaragedoors
63291410241.0,68740765430.0,jscalzi,megdail
63291410241.0,63509008713.0,jscalzi,mewing23
63291410241.0,62831022182.0,jscalzi,mofromnd
63291410241.0,63142276683.0,jscalzi,emo_reads
63291410241.0,63092293832.0,jscalzi,cody_party
63141700572.0,65054051426.0,krystle.channel,___moni.s___
63141700572.0,63021703672.0,krystle.channel,sky_walker.eth
63141700572.0,63290210367.0,krystle.channel,jr.comic
63141700572.0,70738081720.0,krystle.channel,cainal111
63141700572.0,63273666374.0,krystle.channel,ackiel33
63141700572.0,67367443840.0,krystle.channel,kennethchideradaniel
63141700572.0,72480382313.0,krystle.channel,eygarmuor
63141700572.0,69070037315.0,krystle.channel,soul_sister888
63141700572.0,63639120327.0,krystle.channel,logan_edward_edwards_easley
63141700572.0,69428835133.0,krystle.channel,catwranglerjosh
63141700572.0,62929863130.0,krystle.channel,seansong314
63141700572.0,70333915947.0,krystle.channel,g_futb
63141700572.0,72036215386.0,krystle.channel,moon_time_crystals
63141700572.0,63371434853.0,krystle.channel,paulasampergomez
63141700572.0,72485795677.0,krystle.channel,farazhamdi
63141700572.0,66428340955.0,krystle.channel,shannonvalerie1692
63141700572.0,71741182315.0,krystle.channel,cbrockman23
63141700572.0,63426258491.0,krystle.channel,cbcain
63141700572.0,72006859610.0,krystle.channel,soundb0i__
63141700572.0,71129250028.0,krystle.channel,miaathompson06
63141700572.0,68543609098.0,krystle.channel,hebrews13v05
63141700572.0,69871288314.0,krystle.channel,emtkelli22
63141700572.0,69415869187.0,krystle.channel,ninotschka_roll
63141700572.0,67491033953.0,krystle.channel,rickspastic
63141700572.0,63297024382.0,krystle.channel,kunalkundani
63141700572.0,68648799932.0,krystle.channel,katts_stuff
63141700572.0,65060091155.0,krystle.channel,malanaykura
63141700572.0,69385722714.0,krystle.channel,christyo69
63141700572.0,71154681946.0,krystle.channel,tammytriche
63141700572.0,63422322022.0,krystle.channel,dramithamd
63141700572.0,63098682400.0,krystle.channel,rodvizcaino
63141700572.0,63611424273.0,krystle.channel,smoothfellanes
63141700572.0,63082638647.0,krystle.channel,shelly_19xx
63141700572.0,63051263170.0,krystle.channel,wakeenfeenix
63141700572.0,72102380138.0,krystle.channel,emcee_elroy
63141700572.0,72298656684.0,krystle.channel,leodovalle25
63141700572.0,68808985721.0,krystle.channel,krodrik23
63141700572.0,63092109781.0,krystle.channel,gabeflavaflavee
63141700572.0,67971655974.0,krystle.channel,jeri.montes
63141700572.0,67076786552.0,krystle.channel,monsterwave
63141700572.0,66864198300.0,krystle.channel,perfect_pics
63141700572.0,67494644446.0,krystle.channel,jose_fernandes_1977
63141700572.0,67595461341.0,krystle.channel,mrs.deborahbell
63141700572.0,68378987437.0,krystle.channel,vanessabella77
63141700572.0,71353275079.0,krystle.channel,gurifmedsos
63141700572.0,66375997216.0,krystle.channel,nocomprotuperfo
63141700572.0,63095050708.0,krystle.channel,barb_adudu
63141700572.0,63406715181.0,krystle.channel,the.canela.vintage
63141700572.0,63431437800.0,krystle.channel,thisone777
63141700572.0,63095792762.0,krystle.channel,kristinkaneford
63141700572.0,63435239020.0,krystle.channel,wazcher
63141700572.0,63376485258.0,krystle.channel,humanwiththecamera
63141700572.0,63293852394.0,krystle.channel,cyclegal_puravida
63141700572.0,67533624597.0,krystle.channel,causearippleeffect
63141700572.0,67602409238.0,krystle.channel,jolienwesterbroekhornbeck
63141700572.0,62919879788.0,krystle.channel,not_4_the_faint_hearted
63141700572.0,70876781876.0,krystle.channel,cambridge_bowling_club
63141700572.0,63274765770.0,krystle.channel,magicromma
63141700572.0,65087628579.0,krystle.channel,davidkeenan45
63141700572.0,72291760908.0,krystle.channel,amandabiggersash
63141700572.0,63480146890.0,krystle.channel,cryscary23
63141700572.0,67475179135.0,krystle.channel,mind_destruktor
63141700572.0,64303596527.0,krystle.channel,413x35
63141700572.0,70373739345.0,krystle.channel,hvergara1060
63141700572.0,68848481313.0,krystle.channel,luisabem
63141700572.0,67423191204.0,krystle.channel,lenderleanne
63141700572.0,63214317707.0,krystle.channel,lastudiolafayette
63141700572.0,66645171715.0,krystle.channel,sventhode
63141700572.0,63395717044.0,krystle.channel,bigpepsi213
63141700572.0,69560072287.0,krystle.channel,johan_amir_jaafar
63141700572.0,63052607227.0,krystle.channel,copiespasties
63141700572.0,70204942777.0,krystle.channel,pjones9992018
63141700572.0,67572163424.0,krystle.channel,animal6025bear
63141700572.0,72267466981.0,krystle.channel,echo_oracle
63141700572.0,63301004284.0,krystle.channel,jeffreywalker
63141700572.0,63400190977.0,krystle.channel,albert_lombano
63141700572.0,63463123162.0,krystle.channel,viccashchandra
63141700572.0,63884682925.0,krystle.channel,badgalchelsea
63141700572.0,67654998511.0,krystle.channel,topscholar92
63141700572.0,72078470083.0,krystle.channel,cay_bray
63141700572.0,69993216868.0,krystle.channel,moss.lester
63141700572.0,63093954909.0,krystle.channel,dualemmanuel
63141700572.0,63297012397.0,krystle.channel,erose1591
63141700572.0,63054364461.0,krystle.channel,viktor.petroski
63141700572.0,65157866854.0,krystle.channel,claysif94
63141700572.0,64258153478.0,krystle.channel,mauradeabreu
63141700572.0,69706378046.0,krystle.channel,_.lul.angel
63141700572.0,72248725285.0,krystle.channel,amazjhi
63141700572.0,63750676500.0,krystle.channel,tasosf
63141700572.0,69578784871.0,krystle.channel,allenboenicke
63141700572.0,63282429004.0,krystle.channel,estherpy13
63141700572.0,63492930410.0,krystle.channel,itssidneyblair
63141700572.0,63120745392.0,krystle.channel,machomachine3k
63141700572.0,71706756167.0,krystle.channel,berrettscotte
63141700572.0,71546482057.0,krystle.channel,cameron.canete
63141700572.0,65176979642.0,krystle.channel,nataly.queenofcups
63141700572.0,72049895412.0,krystle.channel,ajthelowks
63141700572.0,66898758338.0,krystle.channel,p3ac3_yo
63141700572.0,63244018866.0,krystle.channel,sleepiewonder
63141700572.0,70754481789.0,krystle.channel,0ohjacqui
63141700572.0,64223533044.0,krystle.channel,about.roli
63141700572.0,63449714834.0,krystle.channel,cosmicwooo
63141700572.0,63404138063.0,krystle.channel,neorothschild
63141700572.0,72038388707.0,krystle.channel,richard_babb_photography
63141700572.0,65982449341.0,krystle.channel,hopkinsphiri1
63141700572.0,63255350508.0,krystle.channel,aerostotlebeats
63141700572.0,71116882230.0,krystle.channel,arthurprichard
63141700572.0,63410643564.0,krystle.channel,toddkdavis
63141700572.0,71716709453.0,krystle.channel,bingbingmoments
63141700572.0,70203760226.0,krystle.channel,jamiestarr2525
63141700572.0,63421037798.0,krystle.channel,love.gorgeous
63141700572.0,63053806387.0,krystle.channel,cnote1111
63141700572.0,62986247494.0,krystle.channel,ginosiahayatattoos
63141700572.0,63451657853.0,krystle.channel,lerinamelissa
63141700572.0,72115104101.0,krystle.channel,roadndirtfix
63141700572.0,65820153715.0,krystle.channel,thinhpt368
63141700572.0,66933876160.0,krystle.channel,brianna.michelle1
63141700572.0,70250007827.0,krystle.channel,oksana_irwin
63141700572.0,70137891380.0,krystle.channel,pbettiiii
63141700572.0,71496571717.0,krystle.channel,hollyonthemend2.0
63141700572.0,69394973522.0,krystle.channel,zensual
63141700572.0,70167325960.0,krystle.channel,novyyxden
63141700572.0,63067468686.0,krystle.channel,rainarichmusic
63141700572.0,71687518045.0,krystle.channel,vividlyvixen
63141700572.0,63487730903.0,krystle.channel,taylormoats.tm
63141700572.0,69230543717.0,krystle.channel,frodihoboski
63141700572.0,71685511017.0,krystle.channel,akmuldur_aaka
63141700572.0,63255393580.0,krystle.channel,chocolateandcardamom
63141700572.0,64110275959.0,krystle.channel,shiba3mu
63141700572.0,71864175923.0,krystle.channel,that.native.ageless.chick
63141700572.0,64334908891.0,krystle.channel,paulalalapr
63141700572.0,63456977055.0,krystle.channel,puckhead22
63141700572.0,71475292181.0,krystle.channel,sabrinathecurlywitch
63141700572.0,66353965111.0,krystle.channel,wwillis74
63141700572.0,63367149095.0,krystle.channel,prefer_the_woods_alone
63141700572.0,68231274239.0,krystle.channel,manuel_a_guerrero_arquitecto
63141700572.0,70249944954.0,krystle.channel,afzal.7x
63141700572.0,71883146344.0,krystle.channel,knightslegacytrucking
63141700572.0,63264002859.0,krystle.channel,rudycarmone
63141700572.0,68896701640.0,krystle.channel,nirbanpankajkishorsingh
63141700572.0,70236885300.0,krystle.channel,planetbassfishing
63293944855.0,72133234951.0,datapizza,chiarabalz
63293944855.0,71680716499.0,datapizza,r0tary_b34st
63293944855.0,72088211350.0,datapizza,iremistre
63293944855.0,72060997312.0,datapizza,inderpreet97
63293944855.0,63889127162.0,datapizza,ockeers
63293944855.0,71468243827.0,datapizza,lc_paparone
63293944855.0,63258356961.0,datapizza,elmalgeniado13
63293944855.0,71489547345.0,datapizza,gianfrancovaccaro_
63293944855.0,72017335628.0,datapizza,lunghissimi_
63293944855.0,72085072595.0,datapizza,anprog
63293944855.0,63686609472.0,datapizza,ndr91
63293944855.0,71678165297.0,datapizza,astro.geomantica
63293944855.0,71855020974.0,datapizza,matteo.gianola_
63293944855.0,72001030463.0,datapizza,paolopiaggi
63293944855.0,72057753046.0,datapizza,marcoguadagni
63293944855.0,71637839557.0,datapizza,ian_manubig
63293944855.0,63360626259.0,datapizza,nicoxvc04
63293944855.0,71666940597.0,datapizza,luigi1579
63293944855.0,71670305396.0,datapizza,gian_marcoschiav
63293944855.0,72022176982.0,datapizza,fiat500nelmondo
63293944855.0,71475195327.0,datapizza,pasquale_mestizia_photography
63293944855.0,71416355680.0,datapizza,dariobianca
63293944855.0,71812562418.0,datapizza,lucamione
63293944855.0,70517033247.0,datapizza,luminalytics
63293944855.0,71644193336.0,datapizza,marty_chloe_camille
63293944855.0,63905753483.0,datapizza,raffaelemauro
63293944855.0,71443349231.0,datapizza,87lucascriva
63293944855.0,63875531841.0,datapizza,michele_dani_82
63293944855.0,71234838028.0,datapizza,cha_millo
63293944855.0,71251224836.0,datapizza,mrhoopin
63293944855.0,71255272796.0,datapizza,dalilafaggiano
63293944855.0,71566415497.0,datapizza,francesca.beccarisi
63293944855.0,71623825583.0,datapizza,datascienceflr
63293944855.0,71010643308.0,datapizza,romoluo
63293944855.0,71216131284.0,datapizza,johnnymattera
63293944855.0,71012966039.0,datapizza,giulio_blabla
63293944855.0,71594922254.0,datapizza,lorenzocirillo_
63293944855.0,70948490687.0,datapizza,a.giglio94
63293944855.0,70993615565.0,datapizza,raffaelecatania.art
63293944855.0,71195122333.0,datapizza,silvestro.93
63293944855.0,71405227628.0,datapizza,arcadiartgallery
63293944855.0,71382493331.0,datapizza,gabriele_costanza95
63293944855.0,71403712216.0,datapizza,andrea.gori.351
63293944855.0,71392040339.0,datapizza,elmurie
63293944855.0,71556769734.0,datapizza,codiceconalessia_
63293944855.0,71176081014.0,datapizza,gianlucatramonte
63293944855.0,70775046746.0,datapizza,zakvincenzo
63293944855.0,71357812132.0,datapizza,simonabollani
63293944855.0,71326614907.0,datapizza,sphinxsn
63293944855.0,70963668005.0,datapizza,danipise
63293944855.0,71352346055.0,datapizza,geggio_o
63293944855.0,71149816269.0,datapizza,emanuelaboron
63293944855.0,70778945126.0,datapizza,benitotecce
63293944855.0,71528160654.0,datapizza,federicopiras8
63293944855.0,70757110490.0,datapizza,siddh____art
63293944855.0,70764277312.0,datapizza,wavewildwomen
63293944855.0,71298853635.0,datapizza,calo_m9
63293944855.0,71310160429.0,datapizza,ilcryptopub
63293944855.0,70487860192.0,datapizza,lunicc
63293944855.0,70908816248.0,datapizza,par.mig
63293944855.0,70473116242.0,datapizza,bd.bais
63293944855.0,70455062927.0,datapizza,alessia_de_montis_
63293944855.0,63995114769.0,datapizza,barbara.pirredda
63293944855.0,70487969409.0,datapizza,katiamingiardi
63293944855.0,70807735941.0,datapizza,il_lazza96
63293944855.0,70817366547.0,datapizza,gabriele_mattanini
63293944855.0,70285651862.0,datapizza,rgenti
63293944855.0,70439237305.0,datapizza,davidcristinahairartist
63293944855.0,70664642548.0,datapizza,giuliano_lorusso_
63293944855.0,70289514330.0,datapizza,emmanuele_del_piano
63293944855.0,70855440180.0,datapizza,ghilajack
63293944855.0,64322353543.0,datapizza,axnaird
63293944855.0,70275346118.0,datapizza,sassigarden
63293944855.0,70416669300.0,datapizza,maurizio_schifano_
63293944855.0,70052215900.0,datapizza,marciocmarques
63293944855.0,70448177249.0,datapizza,flashologo
63293944855.0,70274034091.0,datapizza,ale_gia02
63293944855.0,70820162179.0,datapizza,nicole_ic6
63293944855.0,70809683598.0,datapizza,giusinab
63293944855.0,70250059999.0,datapizza,manodedios10
63293944855.0,70626429083.0,datapizza,alessandrogiannini__
63293944855.0,70245545711.0,datapizza,fabio_grilli
63293944855.0,70051567230.0,datapizza,giuliaa.mapelli
63293944855.0,70060093442.0,datapizza,anapaulawauke
63293944855.0,70266721239.0,datapizza,enrispampi
63293944855.0,70815096572.0,datapizza,angelive__
63293944855.0,70257113152.0,datapizza,angisapi
63293944855.0,70201774675.0,datapizza,michelepommella
63293944855.0,70808272530.0,datapizza,martinafer___
63293944855.0,70395443483.0,datapizza,_antonio_lig
63293944855.0,70024487575.0,datapizza,giuseppe_ranieri
63293944855.0,69809766732.0,datapizza,minonigro.chef_bella_cat
63293944855.0,70378100522.0,datapizza,alessandro.lai.73
63293944855.0,70585508885.0,datapizza,emme_di_bi_
63293944855.0,70242776937.0,datapizza,fabioo_pueblo
63293944855.0,70189390625.0,datapizza,missss_barbara_
63293944855.0,70386954727.0,datapizza,michelangelo.dev
63293944855.0,70404312692.0,datapizza,feddle_dee_dee
63293944855.0,70206547658.0,datapizza,n_menale
63293944855.0,68891099489.0,datapizza,massarovisuals
63293944855.0,70352454740.0,datapizza,vasilinianehir
63293944855.0,70193532150.0,datapizza,ilmarcovago
63293944855.0,70362483501.0,datapizza,decolima
63293944855.0,69801548843.0,datapizza,ignazio.anselmo
63293944855.0,70358771360.0,datapizza,matteo_lupinacci
63077865711.0,65778672049.0,davidattenborough_fans,elina.bule
63077865711.0,63091985658.0,davidattenborough_fans,tanvirhasancoaching
63077865711.0,69527730621.0,davidattenborough_fans,patpatstagram
63077865711.0,64235747705.0,davidattenborough_fans,zaraczg
63077865711.0,63103108477.0,davidattenborough_fans,weird_al77
63077865711.0,65526237488.0,davidattenborough_fans,djblckbrd
63077865711.0,63773560342.0,davidattenborough_fans,strawmelonjuice
63077865711.0,63082542808.0,davidattenborough_fans,lucbarone
63077865711.0,70617553195.0,davidattenborough_fans,suesuebates
63077865711.0,69929633015.0,davidattenborough_fans,fjpaez1976
63077865711.0,66897427184.0,davidattenborough_fans,gailies3
63077865711.0,67944333625.0,davidattenborough_fans,cindermander
63077865711.0,63055366524.0,davidattenborough_fans,mjvasanelli
63077865711.0,63077602475.0,davidattenborough_fans,inearlyshirtmypants
63077865711.0,70096259661.0,davidattenborough_fans,mary.jo.hn
63077865711.0,63815369105.0,davidattenborough_fans,mrshormbrey
63077865711.0,63105921985.0,davidattenborough_fans,mk.senthilkumaran
63077865711.0,69949303205.0,davidattenborough_fans,samuel_betkowski
63077865711.0,63130148739.0,davidattenborough_fans,vsb2006
63077865711.0,70875883314.0,davidattenborough_fans,aaaaannica
63077865711.0,63747932110.0,davidattenborough_fans,gogomylona
63077865711.0,71833626440.0,davidattenborough_fans,silvanodebenedetti
63077865711.0,64102536011.0,davidattenborough_fans,richardpaulgeer
63077865711.0,70097535352.0,davidattenborough_fans,gnlfarmyardfriends
63077865711.0,68880585980.0,davidattenborough_fans,ttelshaw1
63077865711.0,69674544987.0,davidattenborough_fans,magalimazzei
63077865711.0,71522629435.0,davidattenborough_fans,volk1095
63077865711.0,63904183993.0,davidattenborough_fans,charliefoxtrotoutdoors
63077865711.0,63570308584.0,davidattenborough_fans,aeldras_
63077865711.0,64207139611.0,davidattenborough_fans,noorinedossa
63077865711.0,63376814270.0,davidattenborough_fans,dkimuk
63077865711.0,64732152490.0,davidattenborough_fans,it.s_me_____ajay_5000
63077865711.0,63471729218.0,davidattenborough_fans,bradromines
63077865711.0,67613171537.0,davidattenborough_fans,peisea
63077865711.0,69365118126.0,davidattenborough_fans,utnekristin
63077865711.0,67816072100.0,davidattenborough_fans,lily.marie_24
63077865711.0,63398190945.0,davidattenborough_fans,laeilakalani_weingart
63077865711.0,65188128831.0,davidattenborough_fans,davetr12
63077865711.0,63130014339.0,davidattenborough_fans,v9mpy
63077865711.0,72084522049.0,davidattenborough_fans,fkk_vv_z
63077865711.0,63263467942.0,davidattenborough_fans,tiituomin
63077865711.0,64156520210.0,davidattenborough_fans,fieshafizah
63077865711.0,64515718259.0,davidattenborough_fans,anabelaraimundo
63077865711.0,63253909276.0,davidattenborough_fans,artonwebdesign
63077865711.0,69909653597.0,davidattenborough_fans,sincetagrams
63077865711.0,63840174702.0,davidattenborough_fans,defc0n
63077865711.0,67647026521.0,davidattenborough_fans,dirkjehoutman
63077865711.0,71616687912.0,davidattenborough_fans,catwoman_909
63077865711.0,69455430773.0,davidattenborough_fans,el.bi.w
63077865711.0,65096468875.0,davidattenborough_fans,so_grateful_for_beautifulskin
63077865711.0,70268571790.0,davidattenborough_fans,yogakat62
63077865711.0,65190671177.0,davidattenborough_fans,muzzlefish
63077865711.0,63495128498.0,davidattenborough_fans,srweber31
63077865711.0,69130966286.0,davidattenborough_fans,willowbassett
63077865711.0,69370508720.0,davidattenborough_fans,aprilemgm
63077865711.0,67149245716.0,davidattenborough_fans,rigoazquez
63077865711.0,63469355405.0,davidattenborough_fans,andresmaderopr
63077865711.0,66315231431.0,davidattenborough_fans,kurnia_yusop
63077865711.0,68039772616.0,davidattenborough_fans,paulo__raposo
63077865711.0,71043067284.0,davidattenborough_fans,kateborowiak
63077865711.0,65306841029.0,davidattenborough_fans,irene__rm29
63077865711.0,63422951785.0,davidattenborough_fans,garcia1e
63077865711.0,63290501200.0,davidattenborough_fans,illinoisdemgirl
63077865711.0,64060370111.0,davidattenborough_fans,marystanley1972
63077865711.0,69099629138.0,davidattenborough_fans,rashidalihamza
63077865711.0,64395017087.0,davidattenborough_fans,b1llz__
63077865711.0,67556301664.0,davidattenborough_fans,pc4ny
63077865711.0,72012592413.0,davidattenborough_fans,willsdotcom
63077865711.0,68794636851.0,davidattenborough_fans,jbat.cruz
63077865711.0,63248893999.0,davidattenborough_fans,loakmany
63077865711.0,72155145310.0,davidattenborough_fans,fbatourstravel
63077865711.0,70472609292.0,davidattenborough_fans,hannah0verton
63077865711.0,68911673993.0,davidattenborough_fans,maitenas
63077865711.0,63425439996.0,davidattenborough_fans,datafunkz
63077865711.0,69210834112.0,davidattenborough_fans,cherylwrightwatkins
63077865711.0,64932211807.0,davidattenborough_fans,evelyn.colmenarez1
63077865711.0,63398318429.0,davidattenborough_fans,k.kaviyarasu37
63077865711.0,72274934589.0,davidattenborough_fans,manxie809
63077865711.0,63287235402.0,davidattenborough_fans,tererobless
63077865711.0,71362077070.0,davidattenborough_fans,vanessalisbonguide
63077865711.0,70364433249.0,davidattenborough_fans,ivan_james16
63077865711.0,70116445237.0,davidattenborough_fans,gabri_192692
63077865711.0,66332449069.0,davidattenborough_fans,zeljka19
63077865711.0,70768607655.0,davidattenborough_fans,simplymylife_mi
63077865711.0,69540859474.0,davidattenborough_fans,wykombinowana
63077865711.0,64657127412.0,davidattenborough_fans,julienelsonclark11
63077865711.0,71623950801.0,davidattenborough_fans,meninacristina
63077865711.0,68885592894.0,davidattenborough_fans,lizclink
63077865711.0,67530609311.0,davidattenborough_fans,gurlal_singh_lali0
63077865711.0,67047441721.0,davidattenborough_fans,t.romanoff.r
63077865711.0,71578895978.0,davidattenborough_fans,abby7_eq
63077865711.0,63532585832.0,davidattenborough_fans,dusandevan
63077865711.0,70910458433.0,davidattenborough_fans,tpkingy
63077865711.0,68969012614.0,davidattenborough_fans,jestemczarna_
63077865711.0,65306112686.0,davidattenborough_fans,littledotlee
63077865711.0,63091198135.0,davidattenborough_fans,tyrofergo
63077865711.0,64648618057.0,davidattenborough_fans,nelliewill
63077865711.0,66167180204.0,davidattenborough_fans,manuela.fiori.creative
63077865711.0,63383735587.0,davidattenborough_fans,drive_five
63077865711.0,65441193325.0,davidattenborough_fans,manolis_karkanakis
63077865711.0,65661938023.0,davidattenborough_fans,teriorriss
63077865711.0,68012332289.0,davidattenborough_fans,branovitskiy
63077865711.0,63912977515.0,davidattenborough_fans,caitriona_mcdonald
63077865711.0,63368386350.0,davidattenborough_fans,ms_getitdunn
63077865711.0,69999448946.0,davidattenborough_fans,ana.alqueres
63077865711.0,64495907945.0,davidattenborough_fans,lam.mary24
63077865711.0,69456138174.0,davidattenborough_fans,flaviasepulvida
63077865711.0,65475201424.0,davidattenborough_fans,a_horse.with_no.name
63077865711.0,63984407525.0,davidattenborough_fans,knyc718
63077865711.0,72038071750.0,davidattenborough_fans,danii.jrz
63077865711.0,68035638830.0,davidattenborough_fans,martamiabella
63077865711.0,63281483223.0,davidattenborough_fans,nadiabeyondlab
63077865711.0,67455464776.0,davidattenborough_fans,heidinilsson
63077865711.0,69034191617.0,davidattenborough_fans,lorrainemaskellphotography
63077865711.0,65819198313.0,davidattenborough_fans,maplebeans18
63077865711.0,63472418887.0,davidattenborough_fans,nebuchadnezzarrio
63077865711.0,65153975693.0,davidattenborough_fans,dzesikaja
63077865711.0,70381191420.0,davidattenborough_fans,miss_sassenach15
63077865711.0,70736902649.0,davidattenborough_fans,mabeledoloverio17
63077865711.0,65232074941.0,davidattenborough_fans,exercise_and_alcohol
63077865711.0,68825080096.0,davidattenborough_fans,dianaanaid3333
63131814221.0,63490671710.0,theheralddiary,tarun.gangwal2023
63131814221.0,70321817057.0,theheralddiary,aryathegreat27
63131814221.0,63452714912.0,theheralddiary,randomcoffee
63131814221.0,63300260562.0,theheralddiary,jimmy_saja
