thread_user_pk,thread_username,thread_follower_pk,thread_follower_username,follower_count
63403820167.0,jamesclarkin,70127706338.0,prettydrummergirl24,
63403820167.0,jamesclarkin,68954646396.0,omre_jiiiii00,
63403820167.0,jamesclarkin,69372321224.0,michael_matuszewsk1,
63403820167.0,jamesclarkin,67051634784.0,yw._blue,
63403820167.0,jamesclarkin,64022050380.0,ur_rico,
63403820167.0,jamesclarkin,62792886369.0,fate_of_faye,
63403820167.0,jamesclarkin,63079092176.0,bismarck5_4_1941,
63403820167.0,jamesclarkin,63135502687.0,xavico1957,
63403820167.0,jamesclarkin,63286464524.0,d3883gonnella,
63403820167.0,jamesclarkin,63428829094.0,ameeht,
63403820167.0,jamesclarkin,63380966072.0,ezz6_030,
63403820167.0,jamesclarkin,63137518720.0,zainuliqbalz,
63403820167.0,jamesclarkin,63399274010.0,sd_nox,
63403820167.0,jamesclarkin,63457477943.0,asr232002,
63403820167.0,jamesclarkin,63288779326.0,newozen,
63403820167.0,jamesclarkin,63418204389.0,mikayla__lomax,
63403820167.0,jamesclarkin,63097245728.0,rayen.ben.taleb,
63403820167.0,jamesclarkin,63401612984.0,lakacha1,
63403820167.0,jamesclarkin,63095622792.0,kyroee,
63081710468.0,this.is.tjbyham,63095622792.0,kyroee,
63252466583.0,anthonyfrazer,63411287051.0,bigbaddrey,
63095503452.0,chelio123,63125901079.0,witchy_helen_,
63159206351.0,djgreenguy,63734016246.0,hiphop_beatproduction,
63159206351.0,djgreenguy,63250928950.0,985themixfm,
63034158831.0,partybydearkefty,63449102401.0,partyshoppersng,
63034158831.0,partybydearkefty,63446282049.0,bibey_tiradslyfashion_,
63408358314.0,jayrob_music,66312908090.0,husonc,
63408358314.0,jayrob_music,65161385810.0,4bey_life,
63408358314.0,jayrob_music,64802284974.0,justinbrazier,
63408358314.0,jayrob_music,64032145397.0,chailynmacfarlane,
63408358314.0,jayrob_music,63315393198.0,smarzziwoo,
63408358314.0,jayrob_music,63922230072.0,david.bo,
63408358314.0,jayrob_music,63479520695.0,dj_larry.p,
63408358314.0,jayrob_music,63034814036.0,ryanwake_photo,
63408358314.0,jayrob_music,63435647541.0,nickjamesaus,
63408358314.0,jayrob_music,63448235522.0,nikkileighbt,
63408358314.0,jayrob_music,63428244947.0,miiikaelaaa_____,
63408358314.0,jayrob_music,63252167991.0,manny__078,
63408358314.0,jayrob_music,63444496451.0,code.e_dj,
63408358314.0,jayrob_music,63300377357.0,mattjames_dj,
63408358314.0,jayrob_music,63086635278.0,brandonsaena,
63408358314.0,jayrob_music,63253777570.0,elemnt_gc22,
63408358314.0,jayrob_music,63058373785.0,im.bmoney,
63408358314.0,jayrob_music,63479715680.0,jrgmusic.au,
63408358314.0,jayrob_music,63219334029.0,ashtrlmusic,
63408358314.0,jayrob_music,63451336559.0,_._xciarax_._,
63408358314.0,jayrob_music,63098566217.0,davidjohhn,
63408358314.0,jayrob_music,63230223541.0,bullo_dj,
63408358314.0,jayrob_music,63409878494.0,sundaiofficial,
63408358314.0,jayrob_music,63430491868.0,thebravodj,
63408358314.0,jayrob_music,63433959927.0,trenttredman,
63408358314.0,jayrob_music,63060580871.0,christempestdj,
63408358314.0,jayrob_music,63235036400.0,itslukemumby,
63408358314.0,jayrob_music,63278133793.0,rymakdj,
63408358314.0,jayrob_music,63099794125.0,shuntmra,
63408358314.0,jayrob_music,63506657441.0,casssav,
63408358314.0,jayrob_music,63447509752.0,fletcherkirkman_,
63408358314.0,jayrob_music,63238022003.0,jakecarmody,
63408358314.0,jayrob_music,63285893659.0,gnge_au,
63408358314.0,jayrob_music,63056395619.0,jaiwaterhousedj,
63408358314.0,jayrob_music,63499113504.0,djbose_au,
63408358314.0,jayrob_music,63248349001.0,crazy_mia02,
63408358314.0,jayrob_music,63483432440.0,lukelabeat,
63408358314.0,jayrob_music,63268232253.0,highupofficial,
63408358314.0,jayrob_music,63095622792.0,kyroee,
63408358314.0,jayrob_music,63304121472.0,willoaus,
63408358314.0,jayrob_music,63239789554.0,jdubmusic,
63408358314.0,jayrob_music,63467467984.0,chunkydip,
63408358314.0,jayrob_music,63465314639.0,howexaus,
63408358314.0,jayrob_music,63283802869.0,vdjdan,
63408358314.0,jayrob_music,63106116551.0,its.davo,
63283802869.0,vdjdan,63380599785.0,karynneal63,
63283802869.0,vdjdan,63063549571.0,kingjagmusic,
63283802869.0,vdjdan,63408358314.0,jayrob_music,
63283802869.0,vdjdan,63243105932.0,togetheragencyau,
63422122939.0,foreign_liga,63262954316.0,droppo_beats,
63422122939.0,foreign_liga,63098659035.0,lacrow13,
63243105932.0,togetheragencyau,69677616727.0,vmsqueenvictoria,
63243105932.0,togetheragencyau,69063988982.0,nedcrimmins,
63243105932.0,togetheragencyau,64967809162.0,djstevefrank,
63243105932.0,togetheragencyau,64280605202.0,laniloowho,
63243105932.0,togetheragencyau,63479520695.0,dj_larry.p,
63243105932.0,togetheragencyau,63448235522.0,nikkileighbt,
63243105932.0,togetheragencyau,63300377357.0,mattjames_dj,
63243105932.0,togetheragencyau,63483432440.0,lukelabeat,
63243105932.0,togetheragencyau,63232507402.0,itsyaboijava,
63243105932.0,togetheragencyau,63479715680.0,jrgmusic.au,
63243105932.0,togetheragencyau,63219334029.0,ashtrlmusic,
63243105932.0,togetheragencyau,63249753655.0,jordyfresco,
63243105932.0,togetheragencyau,63095622792.0,kyroee,
63243105932.0,togetheragencyau,63230223541.0,bullo_dj,
63243105932.0,togetheragencyau,63419167270.0,djmistag,
63243105932.0,togetheragencyau,63433959927.0,trenttredman,
63243105932.0,togetheragencyau,63235036400.0,itslukemumby,
63243105932.0,togetheragencyau,63278133793.0,rymakdj,
63243105932.0,togetheragencyau,63278375088.0,the_ideas_girl,
63243105932.0,togetheragencyau,63102493975.0,harpoon_official_,
63243105932.0,togetheragencyau,63447509752.0,fletcherkirkman_,
63243105932.0,togetheragencyau,63238022003.0,jakecarmody,
63243105932.0,togetheragencyau,63285893659.0,gnge_au,
63243105932.0,togetheragencyau,63283802869.0,vdjdan,
63243105932.0,togetheragencyau,63056708461.0,dj_jimmycarey,
63243105932.0,togetheragencyau,63239789554.0,jdubmusic,
63437220115.0,togo_8888,66312908090.0,husonc,
63437220115.0,togo_8888,66281829145.0,modeozz,
63437220115.0,togo_8888,65933499127.0,nuzinator,
63437220115.0,togo_8888,64032145397.0,chailynmacfarlane,
63437220115.0,togo_8888,63315393198.0,smarzziwoo,
63437220115.0,togo_8888,63922230072.0,david.bo,
63437220115.0,togo_8888,63380599785.0,karynneal63,
63437220115.0,togo_8888,63278839947.0,kassidydidit,
63437220115.0,togo_8888,63396133969.0,haydonjules_,
63437220115.0,togo_8888,63476145311.0,samksteele,
63437220115.0,togo_8888,63086635278.0,brandonsaena,
63437220115.0,togo_8888,63058373785.0,im.bmoney,
63437220115.0,togo_8888,63219334029.0,ashtrlmusic,
63437220115.0,togo_8888,63238316409.0,bigmoomusic,
63437220115.0,togo_8888,63098566217.0,davidjohhn,
