user_pk,follower_pk,follower_username,follower_count,user_threads_userpk,user_threads_follower_pk,username
64525247485,31498445,kris_walker,661,63609240308.0,63609240308.0,
64525247485,60458529923,threaderinchief,199,63501680814.0,63501680814.0,
64525247485,36180132,eric_chang_tw,228,63409269656.0,63409269656.0,
64525247485,2040387,petermoriarty._,498,63414797692.0,63414797692.0,
64525247485,108203,mcroydon,220,63318368534.0,63318368534.0,
64525247485,63037954572,saching6750,971,68930269933.0,68930269933.0,
64525247485,64397151408,techgoddesses,648,67988437364.0,67988437364.0,
64525247485,1070097538,relativelypestonji,257,68174394753.0,68174394753.0,
64525247485,7308291375,logbasex,148,64934320609.0,64934320609.0,
64525247485,1112713509,henny213,110,68466984998.0,68466984998.0,
64525247485,50222861825,seun.eo,257,63249253858.0,63249253858.0,
64525247485,1524513321,einatsapegin,162,63087237728.0,63087237728.0,
64525247485,26398400,chelseychoosey,101,66368713364.0,66368713364.0,
64525247485,1988120348,lky1212,671,63270466701.0,63270466701.0,
64525247485,1623812080,mfarjadhassan,132,63611400389.0,63611400389.0,
64525247485,59295346485,esmiraa.y,104,63486498623.0,63486498623.0,
64525247485,6673785845,thierresavio,111,63212823679.0,63212823679.0,
64525247485,1976508877,mondeepressed,211,67150442516.0,67150442516.0,
64525247485,9699533245,marko.p.radojcic,304,63520429522.0,63520429522.0,
64525247485,4340444182,andy.hopfgartner,136,63127710377.0,63127710377.0,
64525247485,3513649077,dading._,138,63052095594.0,63052095594.0,
64525247485,1914735073,alexpl.0,146,63412652119.0,63412652119.0,
64525247485,1530941857,zoranvasiczoran,185,63470808165.0,63470808165.0,
64525247485,1376319064,_.walter__,240,63123789133.0,63123789133.0,
64525247485,30821053,jppettinger,110,63222412015.0,63222412015.0,
64525247485,399926768,darthfalka,1911,63137446024.0,63137446024.0,
64525247485,5627879860,manikanta6928,118,68649150265.0,68649150265.0,
64525247485,64119410334,cawaiicom,485,63341590632.0,63341590632.0,
64525247485,3130935308,vivek_aglawe_patil,102,63265326809.0,63265326809.0,
64525247485,5687061415,cosmikjoker,125,63050731879.0,63050731879.0,
64525247485,4912262034,seansong314,1099,62929863130.0,62929863130.0,
64525247485,198181538,frabatx,432,63917909500.0,63917909500.0,
64525247485,2166804153,humphrey.koraag,109,65565563918.0,65565563918.0,
64525247485,504505693,jgp_designs,201,66202846242.0,66202846242.0,
64525247485,947083739,therealmistere,193,63131127923.0,63131127923.0,
64525247485,1938348435,ngx.tlam,104,63140222275.0,63140222275.0,
64525247485,2095061523,kakakakakvi,254,63410468967.0,63410468967.0,
64525247485,1906983954,duckbumbum,128,63153161383.0,63153161383.0,
64525247485,1422755707,ayahdeleon,153,63100521024.0,63100521024.0,
64525247485,1799550491,truethao,349,63325848267.0,63325848267.0,
64525247485,55374053911,jonnypenthouse,12119,66413562253.0,66413562253.0,
64525247485,29983912,briancrink,323,63226829631.0,63226829631.0,
64525247485,1098269532,brancorafael21,114,63770423461.0,63770423461.0,
64525247485,8305193888,lehongthaireal,2039,63042855905.0,63042855905.0,
64525247485,32818638563,priyadharshan_chandranath,137,63066411284.0,63066411284.0,
64525247485,1226916126,crexinmsn,136,63450739131.0,63450739131.0,
64525247485,830392825,nat30ago,131,68226566124.0,68226566124.0,
64525247485,876633439,viaduscita,307,63906473058.0,63906473058.0,
64525247485,310962198,amit_esquire,302,63067676040.0,63067676040.0,
64525247485,1549543302,ayetulip,163,63210223737.0,63210223737.0,
64525247485,8045645151,hrshptl_81,184,63269726555.0,63269726555.0,
64525247485,1636808021,marcorh_,396,63417508312.0,63417508312.0,
64525247485,7302612649,weinixue0617,130,63413940006.0,63413940006.0,
