user_pk,follower_pk,follower_username,follower_count
192592722,41247329,deem.info,41
192592722,200224817,themindofscott,293
192592722,9130100498,jensscherbl,7140
192592722,1594443056,thefinotin,107
192592722,23153580341,lenbaglow,2401
192592722,33899334,toggan,41
192592722,287723946,hpburkett,296
192592722,68971772040,camryn_brittany.56k2xh,75
192592722,2139116479,blnoopesup,0
192592722,464955413,sixth_sense2,1903
192592722,21720634320,countkoval,0
192592722,1501119232,nathan.hawkes,30
192592722,18040342052,ntrrptr,242
192592722,60209093925,skfinport,2
192592722,49744955290,tofu_and_moo,3
192592722,46167370054,hillquigley,6
192592722,62170521081,bolta.ai,1456
192592722,4195839194,mur_clare,2311
192592722,63549563252,discodonkey68,92
192592722,983462445,zarfling,139
192592722,55379846,angelahoover850,377
192592722,1163351519,bozovicstefan,106
192592722,515902365,madelinemccray,186
192592722,35106664,sewzinski,641
192592722,3565556650,lacewaves,129
192592722,2252004884,dianairenewilliams,146
192592722,278320443,anvitaj,182
192592722,8048413,imagin.nathan,42
192592722,1836819106,blisteredhand,352
192592722,20270633107,vulgarhistorypod,12570
192592722,4548031512,hynesirina,756
192592722,7438214363,dinosaurpodcast,1020
192592722,63368009996,kiritoace23,34
192592722,799903,leelefever,2224
192592722,3547361757,chris.labonte,4592
192592722,4190350244,eakin.p73,132
192592722,231084939,justin.landin,109
192592722,95177,hojomo,294
192592722,144822832,kenlefeb,89
192592722,53245453,tinatatjosa,21
192592722,306442397,_nosht,21
192592722,797188350,carlosacv90,63
192592722,316453901,memphisgrizzy,1019
192592722,6040999898,matt.swingle,1080
192592722,1479122412,laura_brianna,2817
192592722,460478141,jackmorandesign,401
192592722,60386877032,sweet_leaf718,4470
192592722,8284141952,chriskpeterson,0
192592722,1621690427,bsmorris95,48
192592722,30844811,prabenzo,104
192592722,55871736372,hustle.badger,112
192592722,55925180880,greg.equals.fashion,34
192592722,488100899,connie.papacek,23
192592722,66253502556,rivkagobell,47
192592722,31740175,emdashcat,162
192592722,399054207,heidi_willowson,399
192592722,33065913397,madistan4755,92
192592722,968311,overcaffeinated,202
192592722,1082570437,yz_hwang,408
192592722,68064778517,e_lektronika,8
192592722,52211510198,jryh1773,3
192592722,3082175497,rosenkimberly,188
192592722,7761945460,morganpiazzadana,111
192592722,58465297435,cowboymaury,0
192592722,70039695762,orchidsuv,20
192592722,8519733654,ch.ance51,48
192592722,34476601937,invictus_hifi,362
192592722,64704196867,blessing.stevenson,26
192592722,69009779861,yrw.mdh.shryf,2
192592722,60933655274,correcthoarsebatterystaple,60
192592722,1980036375,therealcrispyghost,40
192592722,18153257834,leafhausz,249
192592722,33899004663,aircarrots,1578
192592722,3605387139,arifperdana_,260
192592722,51945260948,soda.frost.colors,5
192592722,1415873586,norbleu2,11
192592722,60103725134,msmystery2541,43
192592722,23278515,suhailk,107
192592722,60571211681,neuwengreen,1430
192592722,253336112,stayathomejess,124
192592722,31181648,eldonedw,623
192592722,4853562511,admiral.of.the.fleet,72
192592722,7909040,kylecnj,0
192592722,56816493767,moiradevlin01,1958
192592722,61492989257,orsonfrost7516,11
192592722,48676429033,amberrhodes.co,157
192592722,5815706573,blastedbottle,48
192592722,6643700471,brittainforsenate,11513
192592722,40843338,mallclerks,71
192592722,63610457332,shalpin2023,114
192592722,26875739,blackgirlnerds,63933
192592722,229884969,matthieudugal,2451
192592722,1563613,iambeckinator,82
192592722,26875739,blackgirlnerds,63934
259533357,60281494934,aaditya_creation001,11
259533357,71488422081,mosmer0,1
259533357,65562413461,am110344,5
259533357,7948860645,lynnemary1,1
259533357,5414523123,thiaguinhograzzy,250
259533357,183632376,kat_chili,59
259533357,5368410456,junkou.8888,56
259533357,71725952903,actively.passive.dad,0
259533357,3604092593,krystalmead,11
259533357,49854996457,niravjarsaniya,22
259533357,47336526700,luqman.santosa,112
259533357,1362888393,pinpaulvip,63
259533357,44211526671,pawan_pabbati,0
259533357,1486777872,be_yourim,0
259533357,7519396140,aayushthaps,62
259533357,72291994616,pearlwhites10k,0
259533357,506979016,alexcomerma,71
259533357,362555261,denise_dorsey_1024,24
259533357,59215492800,devayani__21,56
259533357,7060594483,someguynamed_jeremy,26
259533357,191002031,vivianacp,143
259533357,72325672135,thesun24_com,0
259533357,68484104695,leenastride,2
259533357,5659706675,vr1357,22
259533357,1446246754,tunguyen111999,32
259533357,51887017,bjsoales,246
259533357,2243064956,_siarafleming_,33
259533357,71837128187,agabyaf,0
259533357,2316056140,iam.todd.nixon,99
259533357,72274219569,nganjason25,5
259533357,32010006687,liyamokish,100
259533357,266773548,steffiritt,73
259533357,71343789578,katiele_official,43
259533357,3966774311,haywards.world,0
259533357,5657712181,olliebug246,3
259533357,38170465457,scottletita,47
259533357,15763031,steven.carlisle,123
259533357,72084390893,blessedman4446,0
259533357,359367210,w.a.asrar,0
259533357,15841602230242423,jsutestuser22,6
259533357,69192849901,kfcjat,381
259533357,47309396,andy.szymendera,67
259533357,4257125207,amaan__george78,29
259533357,238516981,psychnerd22,19
259533357,43974757704,ozmaor2000,0
259533357,72111472122,tristan.crider,2
259533357,72278454968,tworaymond,0
259533357,180782028,dfestrada,26
387960,48881230263,never.stop.sparkling,552
387960,21476308796,hukedonbass,10
387960,70738781656,kai_138392,27
387960,65579099242,acmram1992,5
387960,52906807672,jfuentespda,5
