user_pk,follower_pk,follower_username,follower_count,user_threads_userpk
1696695794,63054278656,bravegirl_goals,130,63083270683
1696695794,63096139639,shruthi_arka,15,63083270683
62043748055,64831640483,,,64831640483
50001426839,68947182532,,,68947182532
32721070528,68708959135,,,68708959135
61743671977,70219331732,bikiewillhonor,303,66341413101
61743671977,63135562094,bri_adia,1930,66341413101
61743671977,68571063949,jason_grayston13,2169,66341413101
61743671977,68366630767,luciano_justin_k,553,66341413101
61743671977,65098860750,kei.fxt1,88,66341413101
61743671977,70376629893,fx_scalpers_ultra,182,66341413101
61743671977,70288296483,nina011095,10,66341413101
61743671977,69445740864,gold_traders_12,250,66341413101
61743671977,70062102992,samfrika_,495,66341413101
61743671977,69703271433,dogs_lovers20211,646,66341413101
61743671977,70140813937,leonilaalvesb,539,66341413101
61743671977,68977366399,forexking250,389,66341413101
61743671977,70212939864,tresor6060,9,66341413101
61743671977,69693373917,monsieur_georges01,804,66341413101
61743671977,66404503293,fitwithjossy,1012,66341413101
61743671977,63264455614,sayyid_208___,62,66341413101
61743671977,63259113376,richtvx,1943,66341413101
61743671977,69714189859,andreawallace806vxg,5,66341413101
61743671977,70178123981,thegabr3,267,66341413101
61743671977,63607936389,m.abalos23,208,66341413101
61743671977,68380656115,tyrone_trades55,418,66341413101
61743671977,68960498718,munee_munee.1996,1379,66341413101
61743671977,63401421006,beatbox_web3.0,1078,66341413101
61743671977,69437389722,irpatrickmbiya,96,66341413101
61743671977,68209912697,fsurnaturel,83,66341413101
61743671977,63108340245,tianzim_mambara,816,66341413101
61743671977,68915428101,shahed141089,25,66341413101
61743671977,65679258933,jeremy_itshimbu_,146,66341413101
61743671977,63299443972,joshyaj20,2178,66341413101
61743671977,65792867416,imgowthamx,1160,66341413101
61743671977,63060980874,doviane_ngoulou,1482,66341413101
61743671977,68666140746,charlesyampa3,259,66341413101
61743671977,68458626809,kennedy.mlm,19,66341413101
61743671977,68247370670,bb.brylee.1kiup,14,66341413101
61743671977,67935421517,au__stephaniecarol__455,148,66341413101
61743671977,66914885143,teb.tub.sarah,190,66341413101
61743671977,67600525652,mohamahsalh88,0,66341413101
61743671977,67664017153,de.lphine1065,80,66341413101
61743671977,64051555078,forex_dominiontraders,278,66341413101
61743671977,64676463397,ivete.theodoro.338,213,66341413101
61743671977,67622489572,xoxo71179,1,66341413101
61743671977,67721449228,spacexceo_elon_musk_,1385,66341413101
61743671977,67576802154,deuxsept971,6,66341413101
61743671977,67454643421,elon8091musk,1410,66341413101
61743671977,67027276142,elonmusk_10p,1189,66341413101
61743671977,66970407736,emma_kasmala,46,66341413101
61743671977,66284481475,strange_facts_100k,1430,66341413101
61743671977,66171814730,covidogidadeli,362,66341413101
61743671977,64026348047,snipeer_americain,131,66341413101
61743671977,63376007790,william_mendy_77,92,66341413101
7521154507,63430994122,ashaful_official_5k,121,67634374986
7521154507,71075114138,lazara_oficial02,30,67634374986
7521154507,70180282689,satyamgejo,64,67634374986
7521154507,69880174825,shyamarajbhar1,5,67634374986
7521154507,69309223751,om_trader_offcicial_vip_,22,67634374986
7521154507,69303211592,arun_rajbhar__796,25,67634374986
7521154507,68330815824,9.raj_3739,30,67634374986
7521154507,65051925343,rajbhar_rahul__001,18,67634374986
7521154507,63473425495,___mr__sachin________,23,67634374986
7521154507,63259464482,manbhadurraj,18,67634374986
7521154507,63282823842,kantehamidou1234,17,67634374986
7521154507,65404675117,dhanjiond,227,67634374986
7521154507,64021560102,mosamsood36,82,67634374986
7521154507,71320475777,javed5145,41,67634374986
7521154507,70632398988,ravi_kant_8127,506,67634374986
7521154507,69763210720,suryakanta956,25,67634374986
7521154507,68093540574,lokeshv878,226,67634374986
7521154507,68683123539,rajesh_rajbhar_160,30,67634374986
7521154507,68136558232,deepakkumardeepakkumar704,35,67634374986
7521154507,68312396765,neerajrajbhar393,2,67634374986
7521154507,68077018541,vimalk94340,126,67634374986
7521154507,67105628671,babligupta365,170,67634374986
7521154507,68233296979,bhardwaj.deepu.16,54,67634374986
7521154507,63188775195,atulrajbhar762,13,67634374986
7521154507,64617712148,mr_govind_rajvanshi,74,67634374986
7521154507,63070989323,ashwanee_chaturvedee,58,67634374986
7521154507,64641969818,bulusahu_photography,79,67634374986
7521154507,64334639374,fguiiddfg,62,67634374986
7521154507,64331227932,neeraj_rajbhar977,16,67634374986
7521154507,64212263494,prince.shrama.1023,100,67634374986
7521154507,63192114917,goiden330,16,67634374986
7521154507,64694344968,abhi_a_to_z_50,80,67634374986
7521154507,64259575897,niraj.yadav_jii_ajay,25,67634374986
7521154507,63433783425,itz_ajit_kumar_2688,85,67634374986
7521154507,63221983877,arjun1251581993,52,67634374986
7521154507,63142422427,itz_me_cute_murugan_arupadai,100,67634374986
7521154507,62881726851,bibhuti6287,13,67634374986
7521154507,63097101655,raja_bhai2628,56,67634374986
7521154507,67799368570,_rider_pulser_lover_up_50,51,67634374986
7521154507,67371443485,itz_javed_official786,191,67634374986
7521154507,67127565333,sohanraj138,55,67634374986
7521154507,66877642519,bablubiwal75,0,67634374986
